,City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Pevek,69.7,170.31,31.66,97,37,17.27,RU,1592871911
102,Aloleng,16.13,119.78,84.7,74,95,2.95,PH,1592872033
103,Pangnirtung,66.15,-65.71,48.97,57,90,3.4,CA,1592872033
104,Hambantota,6.12,81.12,81.93,74,99,18.41,LK,1592871835
105,Bhadrāchalam,17.67,80.88,78.1,88,99,2.01,IN,1592872033
106,Sambava,-14.27,50.17,70.0,79,47,9.84,MG,1592871787
107,Birjand,32.87,59.22,73.4,13,0,9.17,IR,1592872034
108,El Alto,-4.27,-81.21,65.44,84,6,15.64,PE,1592872034
109,Sahuaripa,29.05,-109.23,104.34,8,0,6.67,MX,1592872034
110,Port Shepstone,-30.74,30.45,59.65,72,0,6.87,ZA,1592872034
111,Lavrentiya,65.58,-171.0,44.96,64,100,16.89,RU,1592872034
112,Jamestown,42.1,-79.24,70.0,88,40,6.93,US,1592872024
113,Mahanoro,-19.9,48.8,68.47,92,22,3.36,MG,1592872034
114,Svetlaya,46.54,138.33,55.94,89,87,2.17,RU,1592872034
115,Hualmay,-11.1,-77.61,62.28,84,61,6.6,PE,1592871833
116,Thompson,55.74,-97.86,64.4,77,75,5.82,CA,1592872034
117,Mossamedes,-15.2,12.15,69.28,76,0,7.67,AO,1592872034
118,Kīhei,20.79,-156.47,93.2,34,40,21.92,US,1592872035
119,Kavieng,-2.57,150.8,84.81,71,56,8.63,PG,1592871914
120,Cidreira,-30.18,-50.21,64.22,92,5,13.58,BR,1592872035
121,Viedma,-40.81,-63.0,52.75,48,100,14.34,AR,1592872035
122,Aden,12.78,45.04,86.29,79,72,5.82,YE,1592872030
123,Nanortalik,60.14,-45.24,44.28,76,0,7.38,GL,1592871778
124,Vila,42.03,-8.16,73.4,69,0,1.12,PT,1592872035
125,Ballina,-28.87,153.57,59.0,54,0,14.99,AU,1592872035
126,Rodrigues Alves,-7.74,-72.65,74.86,84,24,1.68,BR,1592872036
127,Si Sa Ket,15.11,104.33,84.99,80,93,6.98,TH,1592872036
128,Sampit,-2.53,112.95,76.75,91,65,1.86,ID,1592872036
129,Japura,-0.32,102.35,74.08,97,99,3.56,ID,1592872036
130,Guerrero Negro,27.98,-114.06,70.25,67,17,18.99,MX,1592872020
131,Ilulissat,69.22,-51.1,46.4,70,95,3.36,GL,1592871940
132,Tiksi,71.69,128.87,47.82,66,9,3.24,RU,1592871911
133,Salalah,17.02,54.09,82.4,88,75,4.7,OM,1592871758
134,Gaya,24.78,85.0,80.6,94,75,7.9,IN,1592871989
135,Severodvinsk,64.56,39.83,46.4,81,20,8.95,RU,1592872036
136,Vaini,-21.2,-175.2,78.8,83,40,10.29,TO,1592871919
137,Nūrpur,29.15,78.42,85.28,57,3,7.81,IN,1592872036
138,Saldanha,-33.01,17.94,46.4,93,19,2.24,ZA,1592872011
139,Maniitsoq,65.42,-52.9,42.19,75,4,16.89,GL,1592872037
140,Srednekolymsk,67.45,153.68,67.51,26,0,16.51,RU,1592872037
141,Pirovskoye,57.63,92.27,60.06,66,0,2.75,RU,1592872037
142,Laguna,38.42,-121.42,100.0,25,1,11.41,US,1592871807
143,Culpeper,38.5,-77.97,72.0,94,75,3.4,US,1592872037
144,Westerly,41.38,-71.83,70.0,83,90,5.82,US,1592872037
145,Mumford,5.26,-0.76,77.77,84,45,9.93,GH,1592872037
146,Freeport,40.66,-73.58,79.0,61,1,10.29,US,1592872037
147,Naze,28.37,129.48,80.6,88,75,18.34,JP,1592872037
148,Butaritari,3.07,172.79,82.76,77,63,15.99,KI,1592872037
149,Sivaki,52.63,126.75,61.45,60,0,6.44,RU,1592872038
150,Poum,-20.23,164.02,74.17,75,90,9.08,NC,1592872038
151,Yulin,22.63,110.15,81.93,88,85,5.55,CN,1592872038
152,Hong Kong,22.29,114.16,88.0,74,97,10.0,HK,1592872027
153,Rāwah,34.48,41.91,82.9,16,0,10.02,IQ,1592872038
154,Bluff,-46.6,168.33,39.0,83,49,3.0,NZ,1592872038
155,Umba,66.69,34.34,45.93,78,10,7.43,RU,1592872038
156,Kalianget,-7.05,113.93,80.51,73,57,9.42,ID,1592872038
157,Kudahuvadhoo,2.67,72.89,83.55,76,98,10.11,MV,1592872038
158,Esperance,-33.87,121.9,55.4,58,50,14.99,AU,1592872038
159,Severnoye,56.35,78.36,54.03,97,100,2.24,RU,1592872039
160,Babol,36.55,52.68,71.6,56,0,4.7,IR,1592872039
161,Irmo,34.09,-81.18,84.2,62,75,5.79,US,1592872039
162,Dali,25.7,100.18,65.5,81,70,4.05,CN,1592872039
163,Dikson,73.51,80.55,48.04,76,94,15.79,RU,1592872039
164,Darhan,49.49,105.92,57.58,77,100,7.0,MN,1592872039
165,Rincon,32.3,-81.24,87.8,62,40,11.41,US,1592872039
166,Iqaluit,63.75,-68.51,51.8,57,20,13.87,CA,1592871770
167,Tangjiazhuang,39.73,118.45,79.83,48,100,3.27,CN,1592872039
168,Madhupur,24.25,86.65,80.26,85,54,10.13,IN,1592872040
169,Lompoc,34.64,-120.46,66.2,68,7,16.11,US,1592871861
170,Souillac,-20.52,57.52,71.6,78,40,3.36,MU,1592872040
171,Ribeira Grande,38.52,-28.7,67.21,91,34,16.6,PT,1592872040
172,Pamanukan,-6.28,107.81,75.99,84,100,4.88,ID,1592872040
173,Totness,5.88,-56.32,78.44,88,82,9.4,SR,1592872040
174,Upernavik,72.79,-56.15,39.78,72,48,9.31,GL,1592872040
175,Igarka,67.47,86.58,54.99,66,61,16.37,RU,1592872040
176,Plouzané,48.38,-4.62,57.2,93,1,4.7,FR,1592872040
177,Sabzawār,36.21,57.68,72.88,31,0,6.69,IR,1592872040
178,Saint Paul Harbor,57.79,-152.41,53.6,76,90,11.41,US,1592871934
179,Bitung,1.45,125.18,82.4,78,20,2.24,ID,1592872040
180,Jadu,31.95,12.03,62.17,59,0,0.72,LY,1592872041
181,Hilo,19.73,-155.09,84.2,54,40,10.29,US,1592871810
182,Port Alfred,-33.59,26.89,59.0,57,0,5.01,ZA,1592871909
183,Alvorada,-12.48,-49.12,72.21,54,0,2.15,BR,1592872041
184,Coyhaique,-45.58,-72.07,37.4,86,90,3.36,CL,1592872041
185,East London,-33.02,27.91,63.43,39,0,5.73,ZA,1592871932
186,Muros,42.78,-9.06,69.01,77,0,1.01,ES,1592871890
187,Clyde River,70.47,-68.59,41.0,93,90,12.75,CA,1592872041
188,Dunedin,-45.87,170.5,45.0,77,16,8.01,NZ,1592872037
189,Carnarvon,-24.87,113.63,66.2,82,90,8.05,AU,1592872041
190,Tilichiki,60.47,166.1,67.98,59,54,1.9,RU,1592872041
191,Sindor,62.86,51.89,44.19,98,5,6.24,RU,1592872042
192,San Jose,37.34,-121.89,88.0,44,20,16.11,US,1592871922
193,Flin Flon,54.77,-101.86,75.2,31,40,6.93,CA,1592872042
194,Fayaoué,-20.65,166.53,72.27,87,86,13.38,NC,1592872042
195,Ranong,9.97,98.63,78.8,94,20,3.36,TH,1592872042
196,Mont-Dore,-22.28,166.58,75.0,96,30,2.89,NC,1592872042
197,Morant Bay,17.88,-76.41,87.8,62,20,19.46,JM,1592872042
198,Khovu-Aksy,51.13,93.6,48.27,73,72,0.81,RU,1592872042
199,Kaitangata,-46.28,169.85,42.01,73,11,3.0,NZ,1592872042
200,Carlsbad,33.16,-117.35,73.99,77,90,5.82,US,1592871787
201,Naryan-Mar,67.67,53.09,40.59,70,90,4.09,RU,1592872042
202,Cartagena del Chairá,1.33,-74.84,70.74,97,100,1.25,CO,1592872043
203,Bambous Virieux,-20.34,57.76,71.6,78,40,3.36,MU,1592872043
204,Springs,-26.25,28.4,39.99,72,0,3.13,ZA,1592872043
205,Kyzyl-Suu,42.34,78.0,61.41,46,86,2.44,KG,1592872043
206,Konstantinovka,49.62,127.98,58.26,79,100,13.04,RU,1592872043
207,Lancaster,40.25,-76.25,75.99,69,1,3.36,US,1592871853
208,Kismayo,-0.36,42.55,78.48,85,96,15.86,SO,1592872043
209,Bow Island,49.87,-111.37,81.0,36,75,9.17,CA,1592872043
210,Cherskiy,68.75,161.3,54.79,40,20,16.44,RU,1592872043
211,Yerbogachën,61.28,108.01,64.83,71,99,7.07,RU,1592871965
212,Contai,21.78,87.75,83.82,83,96,13.53,IN,1592872043
213,Ishigaki,24.34,124.16,87.8,84,75,8.05,JP,1592872044
214,Kautokeino,69.01,23.04,51.96,63,22,6.89,NO,1592872044
215,Ponferrada,42.55,-6.6,66.99,41,59,3.56,ES,1592872044
216,Tarko-Sale,64.92,77.78,53.01,87,61,9.95,RU,1592872044
217,Ruwi,23.6,58.55,87.8,89,100,2.24,OM,1592872044
218,Narsaq,60.92,-46.05,59.0,51,3,4.7,GL,1592872044
219,Bhānpurī,21.1,80.92,77.31,86,63,8.14,IN,1592872044
220,Tianpeng,30.99,103.94,77.0,1,94,3.56,CN,1592872044
221,Palmer,42.16,-72.33,82.4,61,40,4.7,US,1592872004
222,Longyearbyen,78.22,15.64,42.8,75,78,5.82,SJ,1592871962
223,Jinhua,29.11,119.65,82.2,83,99,1.77,CN,1592872044
224,Nouadhibou,20.93,-17.03,78.8,57,18,21.92,MR,1592871982
225,Mazsalaca,57.86,25.05,60.01,82,14,4.05,LV,1592872045
226,Julfa,38.96,45.63,64.4,55,40,9.17,AZ,1592872045
227,Mahébourg,-20.41,57.7,71.6,78,40,3.36,MU,1592872045
228,Copiapó,-27.37,-70.33,55.4,82,9,4.7,CL,1592872045
229,Lagoa,39.05,-27.98,67.05,91,45,21.16,PT,1592872045
230,Port Elizabeth,-33.92,25.57,50.0,81,0,4.7,ZA,1592872045
231,Laas,46.62,10.7,57.99,76,5,6.93,IT,1592871760
232,Flinders,-34.58,150.86,57.99,59,47,8.99,AU,1592871979
233,Zyukayka,58.2,54.7,44.53,87,58,6.17,RU,1592872045
234,Birao,10.28,22.79,78.93,65,1,7.45,CF,1592871908
235,Arkul',57.28,50.04,45.57,84,58,6.85,RU,1592872046
236,Chapais,49.78,-74.85,77.0,61,90,2.24,CA,1592871862
237,Pitkyaranta,61.57,31.48,52.61,65,0,3.65,RU,1592872046
238,Constitución,-35.33,-72.42,50.95,88,74,5.03,CL,1592872046
239,Nioro,13.35,-15.75,81.99,65,5,11.9,GM,1592872046
240,Gwanda,-20.93,29.0,48.02,60,0,4.94,ZW,1592872046
241,Nikolskoye,59.7,30.79,53.6,71,0,0.87,RU,1592872046
242,Skellefteå,64.75,20.95,68.0,64,51,6.93,SE,1592872046
243,Severo-Yeniseyskiy,60.37,93.04,63.34,47,30,1.68,RU,1592872046
244,Vardø,70.37,31.11,39.2,80,75,5.82,NO,1592872046
245,Inhambane,-23.86,35.38,66.94,84,56,7.72,MZ,1592872046
246,Dalby,-27.18,151.27,53.6,66,47,14.99,AU,1592872047
247,Mar del Plata,-38.0,-57.56,52.0,93,83,16.02,AR,1592872047
248,Deputatsky,69.3,139.9,70.61,52,29,3.78,RU,1592872047
249,Lázaro Cárdenas,17.96,-102.2,84.9,71,79,7.94,MX,1592872047
250,Bariloche,-41.15,-71.31,35.6,95,75,16.11,AR,1592871785
251,Saskylakh,71.92,114.08,80.22,36,7,5.57,RU,1592872047
252,Marsh Harbour,26.54,-77.06,82.56,79,100,6.35,BS,1592872047
253,Saint-Joseph,-21.37,55.62,66.2,77,26,5.82,RE,1592871996
254,Havre-St-Pierre,50.23,-63.6,57.2,87,1,2.24,CA,1592872047
255,Yurimaguas,-5.9,-76.08,87.8,62,40,4.7,PE,1592872047
256,Eyl,7.98,49.82,82.56,63,34,22.88,SO,1592872047
257,Banda Aceh,5.56,95.32,77.16,85,100,15.1,ID,1592872048
258,Coquimbo,-29.95,-71.34,53.6,93,100,4.7,CL,1592872048
259,Bubaque,11.28,-15.83,81.84,83,38,13.29,GW,1592872048
260,Vila Velha,-20.33,-40.29,68.0,93,0,2.24,BR,1592871887
261,Itarema,-2.92,-39.92,79.07,80,63,8.14,BR,1592872048
262,Esil,51.96,66.4,50.09,71,9,17.83,KZ,1592872048
263,Phalodi,27.13,72.37,89.42,52,24,13.8,IN,1592872048
264,Arraial do Cabo,-22.97,-42.03,68.0,94,0,5.46,BR,1592872048
265,Peniche,39.36,-9.38,66.0,89,0,7.0,PT,1592872048
266,Dondo,-19.61,34.74,60.96,92,0,4.16,MZ,1592872048
267,Valparaíso,-33.04,-71.63,51.8,93,90,6.15,CL,1592872048
268,Talavera de la Reina,39.96,-4.83,77.36,27,0,7.38,ES,1592872049
269,Sattahip,12.67,100.9,82.4,88,20,4.7,TH,1592871930
270,Hithadhoo,-0.6,73.08,84.33,71,23,9.84,MV,1592872049
271,Belaya Gora,68.53,146.42,72.81,34,21,14.2,RU,1592872049
272,Altay,47.87,88.12,59.23,36,0,3.13,CN,1592872049
273,Engenheiro Beltrão,-23.8,-52.27,61.95,90,0,2.62,BR,1592872049
274,Martin,27.08,-80.42,84.2,74,20,6.93,US,1592872049
275,Eureka,40.8,-124.16,73.0,82,1,5.82,US,1592872024
276,Asău,46.43,26.4,59.0,94,66,3.58,RO,1592872049
277,Isangel,-19.55,169.27,80.6,74,75,5.82,VU,1592872049
278,Lethem,3.38,-59.8,78.26,79,48,7.05,GY,1592872049
279,Oddur,4.12,43.89,73.78,73,68,20.83,SO,1592872050
280,Nishihara,26.18,127.76,82.4,100,75,12.75,JP,1592872050
281,Bandarbeyla,9.49,50.81,81.28,67,35,22.75,SO,1592871901
282,Killybegs,54.63,-8.45,52.0,95,96,4.0,IE,1592872050
283,Mitú,1.2,-70.17,73.56,96,71,1.54,CO,1592872050
284,Haines Junction,60.75,-137.51,60.13,33,1,8.81,CA,1592872050
285,Voh,-20.97,164.7,80.22,52,66,2.71,NC,1592872050
286,Kloulklubed,7.04,134.26,84.2,79,75,9.17,PW,1592871915
287,Riviere-au-Renard,49.0,-64.4,66.2,77,75,2.24,CA,1592872050
288,Touros,-5.2,-35.46,75.2,83,74,4.7,BR,1592872050
289,Lufilufi,-13.87,-171.6,89.01,75,16,5.01,WS,1592872051
290,San Roque,36.21,-5.38,69.8,73,0,11.41,ES,1592872051
291,Harper,4.38,-7.72,77.58,84,100,11.9,LR,1592872051
292,Yeppoon,-23.13,150.73,66.2,37,0,3.36,AU,1592872051
293,Kuril'sk,45.23,147.88,48.42,91,100,8.16,RU,1592872051
294,Tual,-5.67,132.75,80.17,82,59,20.69,ID,1592872051
295,Saint-François,46.42,3.91,57.2,71,5,1.5,FR,1592872051
296,Bodden Town,19.28,-81.25,86.0,84,20,14.99,KY,1592872051
297,Kimbe,-5.55,150.14,86.45,67,2,1.63,PG,1592872051
298,Lake City,30.19,-82.64,82.99,65,1,11.41,US,1592872051
299,Airai,-8.93,125.41,61.41,85,29,4.32,TL,1592872051
300,Dicabisagan,17.08,122.42,84.74,72,89,6.82,PH,1592872052
301,Vanimo,-2.67,141.3,84.67,66,4,5.99,PG,1592872052
302,Nome,64.5,-165.41,60.8,63,40,14.99,US,1592871838
303,Salcia,44.14,22.93,62.56,92,91,7.34,RO,1592872052
304,Kibala,9.11,18.35,78.8,83,26,3.85,TD,1592872052
305,Madimba,-10.4,40.33,69.8,94,20,18.34,TZ,1592872052
306,Yumen,40.28,97.2,71.06,21,25,4.79,CN,1592872052
307,Wanning,18.8,110.4,84.6,81,93,12.57,CN,1592872052
308,Nemuro,43.32,145.57,59.0,87,75,4.7,JP,1592872052
309,San Patricio,19.22,-104.7,87.8,70,75,9.17,MX,1592872052
310,Henties Bay,-22.12,14.28,60.8,56,0,2.62,NA,1592872052
311,Dudinka,69.41,86.18,57.2,62,79,17.9,RU,1592871998
312,Moose Factory,51.26,-80.61,59.0,87,90,4.7,CA,1592871820
313,Niquero,20.04,-77.58,83.37,75,46,1.97,CU,1592872053
314,Sacramento,38.47,-121.32,100.99,20,5,8.05,US,1592871921
315,Avarua,-21.21,-159.78,77.0,69,22,14.99,CK,1592872053
316,Chokurdakh,70.63,147.92,63.39,33,13,12.19,RU,1592872053
317,Tougan,13.07,-3.07,85.51,50,59,13.42,BF,1592872053
318,Lata,40.16,-8.33,64.99,94,0,1.01,PT,1592872053
319,Ābādān,30.34,48.3,86.0,37,0,13.87,IR,1592872053
320,Helong,42.54,129.0,73.94,73,97,2.95,CN,1592872053
321,Puri,19.8,85.85,84.2,89,75,5.82,IN,1592871861
322,Norman Wells,65.28,-126.83,57.2,82,90,8.05,CA,1592872054
323,Hachinohe,40.5,141.5,62.6,100,90,8.05,JP,1592872054
324,Rio Grande,-32.03,-52.1,61.0,96,99,1.99,BR,1592872054
325,Ransang,8.96,117.58,83.84,72,44,1.74,PH,1592872054
326,Jiuquan,39.74,98.52,73.0,20,0,4.59,CN,1592872054
327,Sitka,57.05,-135.33,53.6,76,90,5.82,US,1592872054
328,Mogadishu,2.04,45.34,78.8,84,52,17.18,SO,1592872054
329,Senador José Porfírio,-2.59,-51.95,78.13,74,21,1.83,BR,1592872054
330,Karaman Province,37.08,33.25,58.57,63,0,10.69,TR,1592872054
331,Gizo Government Station,-8.1,156.84,84.72,70,38,4.12,SB,1592872054
332,Chenghai,23.46,116.77,86.0,79,40,8.95,CN,1592872054
333,Zhangjiakou,40.81,114.88,72.5,62,98,2.3,CN,1592872055
334,Paamiut,61.99,-49.67,39.76,86,2,16.93,GL,1592872055
335,Aksha,50.28,113.29,57.25,93,100,11.23,RU,1592872055
336,Kapit,2.02,112.93,75.51,94,100,0.78,MY,1592872055
337,Denpasar,-8.65,115.22,80.6,100,40,12.75,ID,1592871836
338,Barra de Tecoanapa,16.52,-98.75,87.08,66,93,8.1,MX,1592872055
339,Tautira,-17.73,-149.15,82.4,58,40,6.93,PF,1592872055
340,Pimentel,-6.84,-79.93,64.58,85,24,15.12,PE,1592872055
341,Policoro,40.21,16.67,72.0,60,77,1.99,IT,1592872055
342,Cayenne,4.93,-52.33,75.2,100,100,2.24,GF,1592872055
343,Moree,-29.47,149.85,50.0,81,75,11.41,AU,1592872055
344,Mīnāb,27.15,57.08,86.0,79,0,6.93,IR,1592872055
345,Buraidah,26.33,43.98,78.8,34,0,3.36,SA,1592872056
346,Santo Amaro da Imperatriz,-27.69,-48.78,66.2,100,90,5.82,BR,1592872056
347,Chapada dos Guimarães,-15.46,-55.75,78.8,50,9,2.24,BR,1592872056
348,Boguchany,58.38,97.45,68.34,68,60,2.39,RU,1592872056
349,Ayan,56.45,138.17,46.15,88,62,9.44,RU,1592871889
350,Butembo,0.15,29.28,55.99,99,34,2.3,CD,1592872056
351,Lüderitz,-26.65,15.16,50.0,93,0,1.12,NA,1592872056
352,San Jerónimo,-11.95,-75.28,49.69,68,69,4.56,PE,1592872056
353,Inuvik,68.35,-133.72,68.0,45,90,9.17,CA,1592872056
354,Zhezkazgan,47.8,67.71,67.57,24,59,4.54,KZ,1592872056
355,Kashgar,39.45,75.98,75.2,16,20,13.42,CN,1592872057
356,Bijie,27.31,105.29,65.35,90,100,2.42,CN,1592872057
357,Sola,-13.88,167.55,80.35,80,99,8.16,VU,1592872057
358,Lorengau,-2.02,147.27,85.78,69,96,5.68,PG,1592872057
359,Praia,14.92,-23.51,78.8,65,0,11.41,CV,1592871770
360,Kandrian,-6.22,149.55,83.32,75,32,3.27,PG,1592872057
361,Glenwood Springs,39.55,-107.32,80.01,33,40,4.7,US,1592872057
362,Distrikt Brokopondo,4.75,-55.17,77.56,87,92,7.16,SR,1592872057
363,Kunnamangalam,11.3,75.88,73.4,94,90,2.24,IN,1592872057
364,Soest,51.58,8.11,57.99,83,0,2.53,DE,1592872057
365,Wilmington,34.23,-77.94,84.2,66,1,10.29,US,1592872057
366,Richards Bay,-28.78,32.04,60.71,84,0,7.47,ZA,1592871895
367,Provideniya,64.38,-173.3,50.0,81,90,6.71,RU,1592872058
368,Alyangula,-13.85,136.42,78.8,54,2,11.41,AU,1592872058
369,Tabuk,17.42,121.44,81.46,79,100,2.91,PH,1592872058
370,Anchorage,61.22,-149.9,62.6,45,75,10.29,US,1592872058
371,Kavaratti,10.57,72.64,83.86,74,100,13.11,IN,1592871914
372,Karasburg,-28.02,18.75,51.78,41,0,4.47,NA,1592872058
373,Ancud,-41.87,-73.82,44.01,93,20,5.82,CL,1592871912
